user_id,Productos_id
user1,producto59
user1,producto38
user1,producto96
user2,producto36
user2,producto54
user2,producto76
user3,producto49
user3,producto65
user3,producto19
user4,producto22
user4,producto9
user4,producto72
user5,producto20
user5,producto30
user5,producto91
user5,producto71
user6,producto21
user6,producto19
user7,producto85
user7,producto66
user7,producto96
user8,producto33
user8,producto83
user8,producto10
user8,producto30
user8,producto81
user9,producto48
user9,producto34
user9,producto15
user9,producto1
user10,producto90
user10,producto56
user10,producto40
user10,producto69
user11,producto86
user11,producto20
user11,producto48
user12,producto45
user12,producto53
user12,producto48
user12,producto88
user12,producto22
user13,producto95
user13,producto77
user13,producto73
user13,producto35
user13,producto34
user14,producto51
user14,producto10
user14,producto26
user15,producto53
user15,producto82
user16,producto65
user16,producto12
user17,producto59
user17,producto20
user18,producto85
user18,producto98
user18,producto15
user18,producto1
user18,producto51
user19,producto98
user19,producto78
user19,producto73
user20,producto60
user20,producto12
user20,producto65
user20,producto11
user21,producto59
user21,producto40
user21,producto75
user22,producto14
user22,producto76
user22,producto32
user22,producto43
user22,producto30
user23,producto66
user23,producto88
user23,producto34
user24,producto86
user24,producto76
user24,producto73
user24,producto67
user25,producto57
user25,producto14
user25,producto94
user25,producto37
user25,producto52
user26,producto90
user26,producto17
user26,producto80
user26,producto24
user27,producto44
user27,producto85
user27,producto86
user27,producto35
user27,producto23
user28,producto41
user28,producto57
user28,producto81
user29,producto33
user29,producto20
user30,producto87
user30,producto90
user30,producto25
user31,producto47
user31,producto62
user31,producto80
user31,producto65
user32,producto21
user32,producto73
user32,producto14
user32,producto45
user32,producto57
user33,producto63
user33,producto30
user33,producto18
user33,producto68
user34,producto35
user34,producto99
user34,producto74
user34,producto25
user35,producto34
user35,producto52
user35,producto40
user35,producto79
user35,producto87
user36,producto4
user36,producto13
user36,producto22
user36,producto63
user37,producto39
user37,producto11
user37,producto56
user37,producto77
user37,producto6
user38,producto13
user38,producto62
user38,producto25
user38,producto32
user39,producto59
user39,producto7
user39,producto73
user40,producto39
user40,producto1
user41,producto14
user41,producto46
user41,producto7
user41,producto84
user42,producto47
user42,producto12
user42,producto65
user43,producto60
user43,producto67
user44,producto6
user44,producto43
user44,producto31
user45,producto10
user45,producto62
user45,producto77
user45,producto50
user45,producto5
user46,producto45
user46,producto14
user46,producto64
user47,producto35
user47,producto71
user47,producto60
user48,producto4
user48,producto24
user48,producto64
user48,producto48
user49,producto63
user49,producto77
user49,producto47
user50,producto52
user50,producto5
user51,producto22
user51,producto10
user52,producto53
user52,producto85
user52,producto16
user52,producto42
user52,producto52
user53,producto74
user53,producto77
user53,producto90
user53,producto46
user53,producto71
user54,producto81
user54,producto30
user55,producto51
user55,producto52
user55,producto34
user55,producto80
user55,producto25
user56,producto17
user56,producto84
user56,producto74
user56,producto3
user57,producto4
user57,producto73
user58,producto25
user58,producto62
user58,producto18
user58,producto55
user58,producto7
user59,producto67
user59,producto8
user59,producto5
user59,producto77
user60,producto51
user60,producto13
user60,producto1
user60,producto75
user61,producto59
user61,producto21
user62,producto73
user62,producto35
user63,producto54
user63,producto70
user63,producto38
user63,producto49
user63,producto62
user64,producto51
user64,producto19
user65,producto20
user65,producto28
user66,producto43
user66,producto84
user66,producto22
user66,producto80
user66,producto3
user67,producto99
user67,producto39
user67,producto60
user68,producto38
user68,producto83
user68,producto17
user69,producto34
user69,producto9
user69,producto13
user69,producto31
user70,producto12
user70,producto11
user70,producto17
user70,producto68
user70,producto52
user71,producto48
user71,producto51
user71,producto47
user71,producto64
user71,producto94
user72,producto83
user72,producto94
user72,producto65
user72,producto68
user72,producto77
user73,producto57
user73,producto87
user73,producto20
user74,producto18
user74,producto45
user74,producto90
user74,producto23
user74,producto65
user75,producto69
user75,producto22
user75,producto14
user75,producto18
user75,producto43
user76,producto73
user76,producto12
user76,producto3
user77,producto65
user77,producto4
user77,producto62
user77,producto83
user78,producto27
user78,producto33
user78,producto44
user78,producto88
user79,producto75
user79,producto12
user79,producto37
user79,producto86
user80,producto51
user80,producto14
user80,producto64
user81,producto46
user81,producto61
user81,producto81
user81,producto35
user81,producto90
user82,producto84
user82,producto51
user82,producto5
user82,producto34
user83,producto38
user83,producto54
user83,producto79
user84,producto52
user84,producto79
user84,producto45
user84,producto42
user84,producto1
user85,producto7
user85,producto55
user85,producto25
user85,producto70
user86,producto7
user86,producto15
user86,producto20
user87,producto8
user87,producto38
user88,producto59
user88,producto28
user88,producto71
user88,producto81
user88,producto29
user89,producto24
user89,producto64
user89,producto31
user89,producto83
user89,producto1
user90,producto17
user90,producto47
user91,producto1
user91,producto20
user91,producto15
user91,producto98
user91,producto8
user92,producto65
user92,producto19
user93,producto73
user93,producto91
user93,producto94
user94,producto43
user94,producto97
user94,producto96
user95,producto61
user95,producto21
user95,producto48
user95,producto22
user95,producto31
user96,producto78
user96,producto29
user96,producto25
user96,producto70
user97,producto63
user97,producto23
user97,producto28
user97,producto2
user97,producto24
user98,producto31
user98,producto30
user98,producto34
user98,producto45
user98,producto36
user99,producto22
user99,producto33
user99,producto98
user99,producto62
user100,producto24
user100,producto92
